bathrooms,Dates,id,price,bedrooms,sqft_living,sqft_lot,0.0,1.0,1.5,2.0,3.0
1.0,20141013T000000,7129300520.0,221900.0,3.0,1180.0,5650.0,0,1,0,0,0
2.25,20141209T000000,6414100192.0,538000.0,3.0,2570.0,7242.0,0,0,0,1,0
1.0,20150225T000000,5631500400.0,180000.0,2.0,770.0,10000.0,0,1,0,0,0
3.0,20141209T000000,2487200875.0,604000.0,4.0,1960.0,5000.0,0,1,0,0,0
2.0,20150218T000000,1954400510.0,510000.0,3.0,1680.0,8080.0,0,1,0,0,0
4.5,20140512T000000,7237550310.0,1230000.0,4.0,5420.0,101930.0,0,1,0,0,0
2.25,20140627T000000,1321400060.0,257500.0,3.0,1715.0,6819.0,0,0,0,1,0
1.5,20150115T000000,2008000270.0,291850.0,3.0,1060.0,9711.0,0,1,0,0,0
1.0,20150415T000000,2414600126.0,229500.0,3.0,1780.0,7470.0,0,1,0,0,0
2.5,20150312T000000,3793500160.0,323000.0,3.0,1890.0,6560.0,0,0,0,1,0
2.5,20150403T000000,1736800520.0,662500.0,3.0,3560.0,9796.0,0,1,0,0,0
1.0,20140527T000000,9212900260.0,468000.0,2.0,1160.0,6000.0,0,1,0,0,0
1.0,20140528T000000,114101516.0,310000.0,3.0,1430.0,19901.0,0,0,1,0,0
1.75,20141007T000000,6054650070.0,400000.0,3.0,1370.0,9680.0,0,1,0,0,0
2.0,20150312T000000,1175000570.0,530000.0,5.0,1810.0,4850.0,0,0,1,0,0
3.0,20150124T000000,9297300055.0,650000.0,4.0,2950.0,5000.0,0,0,0,1,0
2.0,20140731T000000,1875500060.0,395000.0,3.0,1890.0,14040.0,0,0,0,1,0
1.0,20140529T000000,6865200140.0,485000.0,4.0,1600.0,4300.0,0,0,1,0,0
1.0,20141205T000000,16000397.0,189000.0,2.0,1200.0,9850.0,0,1,0,0,0
1.0,20150424T000000,7983200060.0,230000.0,3.0,1250.0,9774.0,0,1,0,0,0
1.75,20140514T000000,6300500875.0,385000.0,4.0,1620.0,4980.0,0,1,0,0,0
2.75,20140826T000000,2524049179.0,2000000.0,3.0,3050.0,44867.0,0,1,0,0,0
2.5,20140703T000000,7137970340.0,285000.0,5.0,2270.0,6300.0,0,0,0,1,0
1.5,20140516T000000,8091400200.0,252700.0,2.0,1070.0,9643.0,0,1,0,0,0
2.25,20141120T000000,3814700200.0,329000.0,3.0,2450.0,6500.0,0,0,0,1,0
2.0,20141103T000000,1202000200.0,233000.0,3.0,1710.0,4697.0,0,0,1,0,0
1.75,20140626T000000,1794500383.0,937000.0,3.0,2450.0,2691.0,0,0,0,1,0
1.0,20141201T000000,3303700376.0,667000.0,3.0,1400.0,1581.0,0,0,1,0,0
1.75,20140624T000000,5101402488.0,438000.0,3.0,1520.0,6380.0,0,1,0,0,0
2.5,20150302T000000,1873100390.0,719000.0,4.0,2570.0,7173.0,0,0,0,1,0
2.5,20141110T000000,8562750320.0,580500.0,3.0,2320.0,3980.0,0,0,0,1,0
1.5,20141201T000000,2426039314.0,280000.0,2.0,1190.0,1265.0,0,0,0,0,1
1.75,20140624T000000,461000390.0,687500.0,4.0,2330.0,5000.0,0,0,1,0,0
1.0,20141110T000000,7589200193.0,535000.0,3.0,1090.0,3000.0,0,0,1,0,0
2.75,20141203T000000,7955080270.0,322500.0,4.0,2060.0,6659.0,0,1,0,0,0
2.5,20140613T000000,9547205180.0,696000.0,3.0,2300.0,3060.0,0,0,1,0,0
1.0,20140528T000000,9435300030.0,550000.0,4.0,1660.0,34848.0,0,1,0,0,0
2.0,20141230T000000,2768000400.0,640000.0,4.0,2360.0,6000.0,0,0,0,1,0
1.0,20150213T000000,7895500070.0,240000.0,4.0,1220.0,8075.0,0,1,0,0,0
2.5,20140620T000000,2078500320.0,605000.0,4.0,2620.0,7553.0,0,0,0,1,0
2.5,20140715T000000,5547700270.0,625000.0,4.0,2570.0,5520.0,0,0,0,1,0
2.25,20140811T000000,7766200013.0,775000.0,4.0,4220.0,24186.0,0,1,0,0,0
2.75,20140707T000000,7203220400.0,861990.0,5.0,3595.0,5639.0,0,0,0,1,0
1.0,20141028T000000,9270200160.0,685000.0,3.0,1570.0,2280.0,0,0,0,1,0
1.0,20140729T000000,1432701230.0,309000.0,3.0,1280.0,9656.0,0,1,0,0,0
2.5,20140718T000000,8035350320.0,488000.0,3.0,3160.0,13603.0,0,0,0,1,0
1.0,20150325T000000,8945200830.0,210490.0,3.0,990.0,8528.0,0,1,0,0,0
2.5,20140716T000000,4178300310.0,785000.0,4.0,2290.0,13416.0,0,0,0,1,0
1.75,20150428T000000,9215400105.0,450000.0,3.0,1250.0,5963.0,0,1,0,0,0
2.5,20150311T000000,822039084.0,1350000.0,3.0,2753.0,65005.0,0,1,0,0,0
1.0,20140916T000000,5245600105.0,228000.0,3.0,1190.0,9199.0,0,1,0,0,0
2.5,20150217T000000,7231300125.0,345000.0,5.0,3150.0,9134.0,0,1,0,0,0
1.75,20141231T000000,7518505990.0,600000.0,3.0,1410.0,4080.0,0,1,0,0,0
1.75,20150205T000000,3626039271.0,585000.0,2.0,1980.0,8550.0,0,1,0,0,0
2.25,20150303T000000,4217401195.0,920000.0,5.0,2730.0,6000.0,0,0,1,0,0
2.5,20140512T000000,9822700295.0,885000.0,4.0,2830.0,5000.0,0,0,0,1,0
2.5,20140819T000000,9478500640.0,292500.0,4.0,2250.0,4495.0,0,0,0,1,0
2.5,20150407T000000,2799800710.0,301000.0,3.0,2420.0,4750.0,0,0,0,1,0
3.25,20140827T000000,7922800400.0,951000.0,5.0,3250.0,14342.0,0,0,0,1,0
3.0,20150223T000000,8079040320.0,430000.0,4.0,1850.0,9976.0,0,0,0,1,0
2.25,20141210T000000,1516000055.0,650000.0,3.0,2150.0,21235.0,0,1,0,0,0
1.75,20140828T000000,9558200045.0,289000.0,3.0,1260.0,8400.0,0,1,0,0,0
1.75,20141021T000000,5072410070.0,505000.0,3.0,2519.0,8690.0,0,0,0,1,0
1.75,20141207T000000,9528102996.0,549000.0,3.0,1540.0,1044.0,0,0,0,0,1
2.25,20140603T000000,1189001180.0,425000.0,3.0,1660.0,6000.0,0,1,0,0,0
2.75,20141120T000000,3253500160.0,317625.0,3.0,2770.0,3809.0,0,0,1,0,0
2.5,20140909T000000,3394100030.0,975000.0,4.0,2720.0,11049.0,0,0,0,1,0
2.5,20141009T000000,3717000160.0,287000.0,4.0,2240.0,4648.0,0,0,0,1,0
1.0,20140825T000000,1274500060.0,204000.0,3.0,1000.0,12070.0,0,1,0,0,0
2.25,20140612T000000,1802000060.0,1330000.0,5.0,3200.0,20158.0,0,1,0,0,0
3.25,20140912T000000,1525059190.0,1040000.0,5.0,4770.0,50094.0,0,1,0,0,0
2.0,20150105T000000,1049000060.0,325000.0,3.0,1260.0,5612.0,0,1,0,0,0
2.0,20140610T000000,8820901275.0,571000.0,4.0,2750.0,7807.0,0,0,1,0,0
2.5,20140710T000000,5416510140.0,360000.0,4.0,2380.0,5000.0,0,0,0,1,0
1.75,20150316T000000,3444100400.0,349000.0,3.0,1790.0,50529.0,0,1,0,0,0
4.0,20141105T000000,3276920270.0,832500.0,4.0,3430.0,35102.0,0,0,0,1,0
1.75,20141013T000000,4036801170.0,380000.0,4.0,1760.0,7300.0,0,1,0,0,0
1.0,20150420T000000,2391600320.0,480000.0,3.0,1040.0,5060.0,0,1,0,0,0
1.0,20140609T000000,6300000287.0,410000.0,3.0,1410.0,5060.0,0,1,0,0,0
2.5,20150323T000000,1531000030.0,720000.0,4.0,3450.0,39683.0,0,0,0,1,0
2.5,20141202T000000,5104520400.0,390000.0,3.0,2350.0,5100.0,0,0,0,1,0
2.5,20141222T000000,7437100340.0,360000.0,4.0,1900.0,5889.0,0,0,0,1,0
1.0,20141028T000000,9418400240.0,355000.0,2.0,2020.0,6720.0,0,1,0,0,0
1.5,20150128T000000,1523059105.0,356000.0,3.0,1680.0,8712.0,0,1,0,0,0
1.0,20140602T000000,1133000671.0,315000.0,3.0,960.0,6634.0,0,1,0,0,0
1.5,20141114T000000,4232902595.0,940000.0,3.0,2140.0,3600.0,0,0,0,1,0
2.25,20141103T000000,2599001200.0,305000.0,5.0,2660.0,8400.0,0,0,1,0,0
3.25,20140618T000000,3342103156.0,461000.0,3.0,2770.0,6278.0,0,0,0,1,0
2.25,20140519T000000,1332700270.0,215000.0,2.0,1610.0,2040.0,0,0,0,1,0
1.75,20140904T000000,3869900162.0,335000.0,2.0,1030.0,1066.0,0,0,0,1,0
2.5,20140522T000000,2791500270.0,243500.0,4.0,1980.0,7403.0,0,0,0,1,0
2.75,20150311T000000,5036300431.0,1100000.0,5.0,3520.0,6353.0,0,0,0,1,0
1.0,20150226T000000,4168000060.0,153000.0,3.0,1200.0,10500.0,0,1,0,0,0
1.5,20140725T000000,6021501535.0,430000.0,3.0,1580.0,5000.0,0,1,0,0,0
1.5,20141223T000000,6021501535.0,700000.0,3.0,1580.0,5000.0,0,1,0,0,0
2.5,20140908T000000,1483300570.0,905000.0,4.0,3300.0,10250.0,0,1,0,0,0
1.75,20150330T000000,3422049190.0,247500.0,3.0,1960.0,15681.0,0,1,0,0,0
1.5,20140912T000000,1099611230.0,199000.0,4.0,1160.0,6400.0,0,1,0,0,0
1.75,20140711T000000,722079104.0,314000.0,3.0,1810.0,41800.0,0,1,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
